es_id,es_district,es_circuit,es_parish,es_congregation
506,Kainantu,Kambaidam,Ona,Binumarian
512,Immanuel,Immanuel,Mamuane,Leripini
514,Kainantu,Lihona,Yagafonave,Banka
516,Kainantu,Lihona,Yagafonave,Hoba
511,Jiwika,Bumsol,x,KAUIL
473,Immanuel,Wabi,Sumi,Yaware
440,Jiwika,Trinity,DEMAG,DEMAG
443,Jiwika,Trinity,NENGEMBIA,NENGEMBIA
446,Jiwika,Trinity,MOROMA,GARIAYUNGU
449,Jiwika,Trinity,x,x
457,Jiwika,Trinity,KEWAMUGL,KEWAMUGL
447,Kainantu,Kambaidam,Ona,Binu Marie
400,Kainantu,Finintugu,Naira,Kerevave
432,Kainantu,Finintugu,Naira,Oyamari
436,Kainantu,Finintugu,Kzimarena,Kamuri
394,Jiwika,Dawoo,DANGE,KULKA
401,Jiwika,Dawoo,DANGE,KULKA
413,Jiwika,Dawoo,KONDNIL,GUSPA
420,Jiwika,Dawoo,KONDNIL,GUSPA
426,Jiwika,Dawoo,NAMEL,KAMING
433,Jiwika,Dawoo,GAWAI,QMBINTAPI
445,Jiwika,Dawoo,TARRATOL,TARRATOL
405,Kainantu,Kainantu,x,Ataru
448,Kainantu,Kainantu,Aiyura,St Timothy Aiyura
455,Kainantu,Kainantu,x,Sobima
453,Jiwika,Kerowagi,KAMAGL,KAMAGL
456,Jiwika,Kerowagi,MT ZION,GAGLBUNA
507,Jiwika,Kerowagi,NIGLAPALANGE,x
509,Jiwika,Kerowagi,ANGOUGOI,ANGOUGOI
419,Jiwika,Kup,GURUMUK,GURUMUK
450,Jiwika,Kup,MORISUL,BROMIL
469,Jiwika,Kup,MORISUL,BORMIL
425,Kainantu,Lihona,Herave Paris,Kemanave
517,Immanuel,Tiripini,Kalvari,Kandayapu
518,Immanuel,Mendi,Anga,Lumbi
520,Goroka,Bena,Kintinu,Lampo
521,x,x,x,x
522,x,x,x,x
523,x,x,x,x
524,x,x,x,x
525,x,x,x,x
526,x,x,x,x
527,x,x,x,x
528,x,x,x,x
529,x,x,x,x
530,x,x,x,x
21,x,Bagiai,buroi,buroi
42,x,Bagiai,yerr,ST. Benjamin
515,Jiwika,Banz,BANZA,MANZIA
173,x,Bumsol,BUMSOL,EBA
174,x,Bumsol,BUMSOL,HEBA
78,x,Wampar,saga,Gabensis
340,Kote,Zaka,DUKA,ST LAMA
354,Kote,Zaka,KOWABASO,BETEL
363,Kote,Zaka,ZAIA,ZARAINSE
365,Kote,Zaka,ZAIA,ZARAINSE
369,Kote,Zaka,OGA,BOSADI
370,Kote,Zaka,ST JOHN,AINGSE
377,Kote,Zaka,AGYIE,SAIGARA
210,Kote,Qembung,HAMAKA,HAPOHONDONG
122,x,Wabi,Sumi,Lakira
138,x,Wabi,Sumi,Yaware
392,Immanuel,Wabi,Wagalu,Yalumita
474,Immanuel,Wabi,Sumi,Lakira
482,Immanuel,Wabi,Puru,Uma Lutheran
487,Immanuel,Wabi,Sumi,Yawere
494,Immanuel,Wabi,Puku,USA
502,Immanuel,Wabi,Puru,Apopq
519,Immanuel,Wabi,Rami,Mapaita
459,Jiwika,Trinity,MOROMA,WAKAIMO
460,Jiwika,Trinity,KEWAMUGL,KEWAMUGL
180,x,Tagub,MAKADUI,MAKADUI
212,Kote,Sattelberg,WEMO,SATTELBERG
213,Kote,Sattelberg,FOSAMA,ZAZANGUO
217,Kote,Sattelberg,WAREO,URUO
220,Kote,Sattelberg,WAREO,BAWEHOCKO
249,Kote,Sattelberg,KITAKA,TARECKO
253,Kote,Sattelberg,SASIBONA,NANDUO MANGJAUNG
360,Kote,Sattelberg,OGORORO,YUNZAING
361,Kote,Sattelberg,WEMO,LUMU
366,Kote,Sattelberg,SASIBONA,SIRIRIO
367,Kote,Sattelberg,KITAKA,HELDSBACH
368,Kote,Sattelberg,WEMO,x
376,Kote,Sattelberg,BOMAZA,TEMBANG
379,Kote,Sattelberg,WEMO,SATTELBERG
503,Jiwika,Dawoo,x,TEPRATOL
508,Jiwika,Dawoo,KONDUGL,BONGI
510,Jiwika,Dawoo,x,ONIL
513,Jiwika,Dawoo,GAWAI,KONDUWIL
348,Kote,Qembung,Babuso,BEREMUNG
172,x,Bagiai,Buroi,GAMOG
