admin_id,admin_province,admin_district,admin_llg,admin_ward,admin_village,admin_tribe,admin_clan
175,Madang,Sumkart,Karkar Rural,30,KUDUK,KUDUK,MATLOI
176,Madang,Sumkart,Karkar Rural,30,KUDUK,KUDUK,MATLOI
177,Madang,Sumkart,Karkar Rural,29,BAFOR,TAKIA,SABONE
178,Madang,KARKAR,Karkar Rural,29,BAFOR,BAFOR,SABONA
179,,,,,,,
180,Madang,KARKAR,Karkar Rural,30,KUDUK,TAKIA,FIDIAK
181,Madang,KARKAR,Karkar Rural,MATIU 2,KULUK,KULUK,KILAMUD
182,Madang,KARKAR,South Karkar ,2,KULUK,MATYU,KIDAU
183,Morobe,Finschafent,Kate,,BORING BONGENG,,
184,Southern Highlands,Mendi/Munihut,Upper Mendi Rural,Ward 3,Birop,Yana,Mambu Haus
185,Eastern Highlands,Kainantut,Dunantina Rural,4,HOBA,HOMZA,KRIGO
186,Eastern Highlands,Henganofit,Dunantina Rural,4,Somembare,Bazanofi,Yafu
187,Morobe,Finschafent,Kate,THREE,SOSOINGKO,WAMORO,HARINGUNG
188,Morobe,Finschafent,Kate,TEN (10),TAREKO,KOTE,SANAMONDO
189,Morobe,Tawae/Siassit,Sialum Rural,FIVE 9,,,
190,Morobe,Tawae/Siassit,Sialum Rural,FIVE 5,KALASA,QIRIK,KAKON
191,Morobe,Laet,Labuta Rural,(8) Eight,Bukawa,Ulikim,Buduhu
192,Morobe,Menyamyat,Wapi Rural,12,Pispon,Hapawansuga,Konataga
193,Eastern Highlands,Kainantut,Agarabi Rural,1,Ataru,Anora,Bane
194,Morobe,Menyamyat,Kome Rural,(8) Eight,Namba Wan Bridge,Tipadeka,Tauye
195,Eastern Highlands,Henganofit,Dunantina Rural,4,Banka,Yagafonave,Yohonofi
196,Eastern Highlands,Henganofit,Dunantina Rural,4,Konange,Tinteo,Muno
197,Eastern Highlands,Kainantut,Kamano No. 1 Rural,6,Innonka,Kremento,Kremento
198,Southern Highlands,Ialibu/Pangiat,South Wiru,Koyabu,Koyabu,Take,Kima
199,Morobe,Wau Waria,Waria Rural,10,Griex,Torangati,Gorothy
200,Eastern Highlands,Henganofit,Kafentina Rural,7,Kumuina,Benega,Benega
201,Morobe,Finschafent,Yabim Mape Rural,19,Mawaneng,Mape,Zine
202,Morobe,Finschafent,MAPE YABIM,19,TEMBANG,MAPE,BOMIO
203,Morobe,Finschafent,Yabim Mape Rural,17,RIRIMALA,ZAQUING,MANEWOKE
204,Morobe,Finschafent,Yabim Mape Rural,17,RIRIMALA,ZAQUING,MANEWOKE
205,Morobe,Tawae/Siassit,Sialum Rural,12,SANKOA,ONOKA,SIRA
206,Southern Highlands,Pangia,1,3,Yaro,Tande,Yali
207,Eastern Highlands,Okapat,East Okapa Rural,Is,Amaira,Avia,Kufanumana
208,Eastern Highlands,Kainantut,Kamano No. 1 Rural,5,Kumafoni,Imune,Kumanofi
209,Eastern Highlands,Kainantut,Hagarape,3,Punano,Panehorota,Panehorota
210,Morobe,Finschafent,Yabim Mape Rural,16,HAPOHONDONG,MAPE,RUMENG
211,Eastern Highlands,Kainantut,Kamano,5,Kumanofi,Imune,Hamagonto
212,Morobe,Finschafent,Kotte Rural,8,MAICWANENG,NIGO,GONZANG
213,Morobe,Finschafent,Yabim Mape Rural,18,ZAZANGUO,UPPER MAPE,WONO
214,Eastern Highlands,Kainantut,Kafentina Rural,1,Zuinofi,,
215,Morobe,Tawae/Siassit,Sialum Rural,,ZUMZUMAU,DEDUA,MEREMANG
216,Southern Highlands,Kagua/Eravet,Kagua Urban,Yame Ward 24,Yame,Mirupa,Kilimirupa
217,Morobe,Finschafent,Kotte Rural,5,URUO,RUAM,MOGENG
218,Eastern Highlands,Kainantut,Kamano,6,Onenifi,Ranofi,Onenofi
219,Southern Highlands,Imbonggut,Lower Mendi Rural,Yam Tutam,Yame,Reicipu,Peia
220,Morobe,Finschafent,Kotte Rural,FIVE,BAWEHOCKO,BABATUCNE,BAZICBAWAEHOCKO
221,Eastern Highlands,Kainantut,Kafentina Rural,5,Johotegave,Johotegave,Henganofi
222,Morobe,Huont,Wampar Rural,17,Gabsongkec,Wampar,Orogacheon
223,Eastern Highlands,Kainantut,Kafentina Rural,5,Vitiks,Hapanofi,Hapanofi
224,Morobe,Huont,Salamaua Rural,Mubo,Wapali,Iwal,Gwaitumbu
225,Eastern Highlands,Kainantut,Kamano No. 1 Rural,6,Onenofi,Onenofi,Ranofi
226,Eastern Highlands,Kainantut,Arufa,7,Isonteni,Agarabi,Awiva
227,Morobe,Finschafent,Hube Rural,SEVEN,KULUNTUFU,DUAKI,SERIN KIWI
228,Morobe,Tawae/Siassit,Sialum Rural,3,QAMBU,,ZARO
229,Eastern Highlands,Kainantut,Gadsup Tairora Rural,3,Binumarien,Yagie,Sasida
230,Southern Highlands,Mendi/Munihut,Upper Mendi Rural,Kuma,Kuma,Owayano,Mondika
231,Southern Highlands,Mendi/Munihut,Upper Mendi Rural,Kuma,Kuma,Owayano,Mondika
232,Eastern Highlands,Kainantut,Agarabi Rural,3,Mako,Kuman,Ranofi
233,Eastern Highlands,Kainantut,Kamano,6,Kanake,Kumian,Izao
234,Eastern Highlands,Kianantu,Kamano No. 1 Rural,6,Onenog,Onti,Namonto
235,Southern Highlands,Mendi/Munihut,Upper Mendi Rural,Semera C.W,Semera,Kekuton,Kurilke
236,Eastern Highlands,Kainantut,Agarabi Rural,3,Maiko,Kumian,Ranofi
237,Morobe,Tawae/Siassit,Sialum Rural,16,SIWEA,DEDUA NUAM,WONOM
238,Eastern Highlands,Kainantut,Agarabi Rural,3,Mako,Kumian,Zofu
239,Eastern Highlands,Kianantu,Kamano No. 1 Rural,2,Timuza,Onempi,Taranofi
240,Morobe,Finschafent,Burum Kwat Rural,18,MINDIK,TITIKNAN,GOU
241,Eastern Highlands,Kianantu,Kamano No. 1 Rural,6,Onenofi,Onenofi,Izao
242,Eastern Highlands,Kainantut,Kamano No. 1 Rural,6,Onenofi,Tanra,Izao
243,Morobe,Finschafent,Burum Kwat Rural,17,MAMUS,,
244,Eastern Highlands,Kainantut,Kamano No. 1 Rural,2,Tanara,Onempi,Tanaranofi
245,Eastern Highlands,Obura/Wonenarat,Gadsup Tairora Rural,3,Binumarien,,Wisiboni
246,Eastern Highlands,Kainantut,Duna,4,Homya,Homya,Jagufonave
